Molecule_Name,Smiles,human_VDss_L_kg,Source,CAS
852A,[H]N([H])c1c2c(c3ccccc3n1)n(CCCCN([H])S(C)(=O)=O)c(CC)n2,3.1,10.1124/dmd.118.082966,532959-63-0
Abacavir,Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1,0.84,10.1124/dmd.118.082966,136470-78-5
Abanoquil,COc1cc2CCN(Cc2cc1OC)c3cc(N)c4cc(OC)c(OC)cc4n3,6.3,10.1124/dmd.118.082966,90402-40-7
Abexinostat,CN(C)Cc1c2ccccc2oc1C(=O)NCCOc3ccc(cc3)C(=O)NO,2.6,10.1124/dmd.118.082966,783355-60-2
Acamprosate,OS(=O)(=O)CCCNC(=O)C,0.3,10.1124/dmd.118.082966,77337-76-9
Acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C@@H](O)[C@H](O)[C@H]3O,0.32,10.1124/dmd.118.082966,56180-94-0
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C,1.7,10.1124/dmd.118.082966,37517-30-9
Acecainide (N-acetylprocainamide),CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,1.9,10.1124/dmd.118.082966,32795-44-1
Acenocoumarol,[H]OC1=C(C(=O)Oc2ccccc12)[C@H](CC(C)=O)c1ccc(cc1)[N+]([O-])=O,0.24,10.1124/dmd.118.082966,152-72-7
Acetaminophen,CC(=O)Nc1ccc(O)cc1,1,10.1124/dmd.118.082966,103-90-2
Acetazolamide,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0.37,10.1124/dmd.118.082966,59-66-5
"Acetylcysteine, N-",CC(=O)N[C@@H](CS)C(=O)O,0.55,10.1124/dmd.118.082966,616-91-1
"Acetylmethadol, L-",CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2,8.3,10.1124/dmd.118.082966,1477-40-3
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,0.22,10.1124/dmd.118.082966,50-78-2
ACHT 4-10,CSCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)NCC(=O)O)N,0.73,10.1124/dmd.118.082966,4037/1/8
Acivicin,N[C@@H]([C@@H]1CC(=NO1)Cl)C(=O)O,0.5,10.1124/dmd.118.082966,42228-92-2
Aclidinium bromide,c1ccc(cc1)OCCC[N+]23CCC(CC2)[C@H](C3)OC(=O)C(c4cccs4)(c5cccs5)O,4.3,10.1124/dmd.118.082966,320345-99-1
Actisomide,CC(C)N(CC[C@@]1(C(N=C(C)N2CCCC[C@H]12)=O)c1ccccc1)C(C)C,0.58,10.1124/dmd.118.082966,96914-39-5
Acyclovir,NC1=Nc2c(ncn2COCCO)C(=O)N1,0.71,10.1124/dmd.118.082966,59277-89-3
Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0.42,10.1124/dmd.118.082966,106941-25-7
Adinazolam,CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.98,10.1124/dmd.118.082966,37115-32-5
AFN-1252,Cc1c2ccccc2oc1CN(C)C(=O)/C=C/c3cc4c(nc3)NC(=O)CC4,0.43,10.1124/dmd.118.082966,620175-39-5
AG-EE-388 ZW,C(c1c(cc(cc1)CC(=O)N[C@@H](CC(C)C)c1c(cccc1)N1CCCCC1)OCC)(=O)O,0.28,10.1124/dmd.118.082966,135969-54-9
Ajmaline,CC[C@@H]1[C@H](N2[C@H]3CC1C4[C@@H]2CC5([C@H]3N(c6c5cccc6)C)[C@@H]4O)O,4,10.1124/dmd.118.082966,4360/12/7
Albuterol (salbutamol),CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1.9,10.1124/dmd.118.082966,18559-94-9
Alcuronium,OC\C=C/1\C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C5=CN6[C@H]7C(=CN([C@H]35)c8ccccc48)[C@H]9C[C@H]%10[C@@]7(CC[N@@+]%10(CC=C)C/C/9=C/CO)c%11ccccc6%11,0.32,10.1124/dmd.118.082966,23214-96-2
Alectinib,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,6.35,10.1124/dmd.118.082966,1256580-46-7
Alendronate,C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O,0.33,10.1124/dmd.118.082966,66376-36-1
Alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,0.45,10.1124/dmd.118.082966,71195-58-9
Alfuzosin,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3,1.5,10.1124/dmd.118.082966,81403-80-7
Alinidine,N(c1c(cccc1Cl)Cl)(C=1NCCN1)CC=C,2.72,10.1124/dmd.118.082966,33178-86-8
Alizapride,COc1cc2nn[nH]c2cc1C(=O)NCC3CCCN3CC=C,1.6,10.1124/dmd.118.082966,59338-93-1
Allopurinol,O=C1NC=Nc2[nH]ncc12,0.58,10.1124/dmd.118.082966,315-30-0
Almitrine,C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1,35.37,10.1124/dmd.118.082966,27469-53-0
Almokalant,C(c1ccc(cc1)OC[C@@H](C[N@@](CCC[S@@](=O)CCC)CC)O)#N,1.8,10.1124/dmd.118.082966,123955-10-2
Almorexant,CNC(=O)C(N1CCC2=C(C=C(OC)C(OC)=C2)[C@@H]1CCC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,9.75,10.1124/dmd.118.082966,871224-64-5
Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,2.2,10.1124/dmd.118.082966,154323-57-6
Alosetron,Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C,1.1,10.1124/dmd.118.082966,122852-42-0
Alpiropride,C1C[N@@]([C@@H](C1)CNC(c1c(cc(c(c1)S(NC)(=O)=O)N)OC)=O)CC=C,2.3,10.1124/dmd.118.082966,81982-32-3
Alprazolam,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.8,10.1124/dmd.118.082966,28981-97-7
Alprenolol,CC(C)NCC(O)COc1ccccc1CC=C,3.2,10.1124/dmd.118.082966,13655-52-2
Alprostadil,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,2.4,10.1124/dmd.118.082966,745-65-3
Alvimopan,C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O,0.43,10.1124/dmd.118.082966,156053-89-3
Amantadine,NC12CC3CC(CC(C3)C1)C2,6.6,10.1124/dmd.118.082966,768-94-5
Amdinocillin,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,0.37,10.1124/dmd.118.082966,32887-01-7
Amezinium,c1c(cc([n+](n1)c1ccccc1)OC)N,4,10.1124/dmd.118.082966,41658-78-0
Amifostine,C(SP(O)(O)=O)CNCCCN,0.09,10.1124/dmd.118.082966,20537-88-6
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,0.16,10.1124/dmd.118.082966,37517-28-5
"Aminocamptothecin, 9-",CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O,2.2,10.1124/dmd.118.082966,91421-43-1
"Aminohexanoic acid, 6-",NCCCCCC(=O)O,0.39,10.1124/dmd.118.082966,60-32-2
Aminolevulinic acid,NCC(CCC(O)=O)=O,0.12,10.1124/dmd.118.082966,106-60-5
"Aminosalicylic acid, 5-",Nc1ccc(O)c(c1)C(=O)O,0.33,10.1124/dmd.118.082966,89-57-6
Amiodarone ,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,60,10.1124/dmd.118.082966,1951-25-3
Amiprilose,O1[C@H]2[C@@H]([C@H]([C@H]1[C@H](O)CO)OCCCN(C)C)OC(C)(C)O2,1.04,10.1124/dmd.118.082966,56824-20-5
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3ccccc13,8.7,10.1124/dmd.118.082966,50-48-6
Amlodipine,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,17,10.1124/dmd.118.082966,88150-42-9
Amodiaquine,CCN(CC)Cc1cc(ccc1O)Nc2ccnc3c2ccc(c3)Cl,17.4,10.1124/dmd.118.082966,86-42-0
Amonafide,c12c3C(N(CCN(C)C)C(c1cccc2cc(c3)N)=O)=O,7.33,10.1124/dmd.118.082966,69408-81-7
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.25,10.1124/dmd.118.082966,26787-78-0
AMP579,CC[C@H](Cc1c(ccs1)Cl)Nc2c3ccn(c3ncn2)[C@@H]4C[C@@H]([C@H]([C@H]4O)O)C(=O)NCC,0.84,10.1124/dmd.118.082966,213453-89-5
Amphetamine (-d),c1(ccccc1)C[C@H](C)N,6.1,10.1124/dmd.118.082966,51-64-9
Amphotericin B,[H]N([H])[C@@H]1[C@@H]([C@@H](O[C@@H]2C[C@H]3[C@H](C(=O)O[H])[C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@@H](C)[C@H](C)[C@@H]([C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)O[H])O[H])O[H])O[H])O[H])O[H])(O[H])O3)O[H])O[C@H](C)[C@H]1O[H])O[H],0.62,10.1124/dmd.118.082966,1397-89-3
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.22,10.1124/dmd.118.082966,69-53-4
Amrinone,NC1=CC(=CNC1=O)c2ccncc2,1.3,10.1124/dmd.118.082966,60719-84-8
Amsacrine,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,1.6,10.1124/dmd.118.082966,51264-14-3
Amsalog,CNC(=O)c1cccc2c(Nc3ccc(NS(=O)(=O)C)cc3OC)c4cccc(C)c4nc12,0.3,10.1124/dmd.118.082966,80841-47-0
Amygdalin,O1[C@@H](O[C@@H](c2ccccc2)C#N)[C@@H]([C@@H](O)[C@@H]([C@H]1CO[C@@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO)O)O,0.21,10.1124/dmd.118.082966,29883-15-6
Anhydrovinblastine,CCC1=C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,12,10.1124/dmd.118.082966,38390-45-3
Anidulafungin,CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@@H](NC(=O)C(NC(=O)[C@@H]6C[C@@H](O)CN6C(=O)C(NC4=O)[C@@H](C)O)[C@H](O)[C@@H](O)c7ccc(O)cc7)[C@@H](C)O,0.57,10.1124/dmd.118.082966,166663-25-8
Antazoline,c1ccc(cc1)CN(CC2=NCCN2)c3ccccc3,3.9,10.1124/dmd.118.082966,91-75-8
Antipyrine,CN1N(C(=O)C=C1C)c2ccccc2,0.77,10.1124/dmd.118.082966,60-80-0
Antofloxacin,O=C(C(C(=C(C(=C1F)N(CCN2C)CC2)OC2)N(C3)[C@H]2C)=C1N)C=3C(O)=O,2.42,10.1124/dmd.118.082966,119354-43-7
Apalcillin,[H]N(C([C@@H](c1ccccc1)N([H])C(c1cnc2cccnc2c1O[H])=O)=O)[C@@H]1C2N(C1=O)[C@@H](C(=O)O[H])C(C)(C)S2,0.16,10.1124/dmd.118.082966,63469-19-2
Apixaban,N1(CCc2c(C1=O)n(nc2C(=O)N)c1ccc(cc1)OC)c1ccc(cc1)N1CCCCC1=O,0.3,10.1124/dmd.118.082966,503612-47-3
Apomorphine,c12c3c4c(ccc(c4O)O)C[C@H]1[N@@](CCc2ccc3)C,1.6,10.1124/dmd.118.082966,58-00-4
Aprepitant,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,0.94,10.1124/dmd.118.082966,170729-80-3
AR-709,CN(C)C(=O)c1c(c2cc(ccc2[nH]1)Cl)Cc3cc4c(cc(c(c4o3)OC)OC)Cc5cnc(nc5N)N,5.06,10.1124/dmd.118.082966,663214-64-0
Arbekacin,O1[C@H](O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@H]2O[C@@H](CC[C@H]2N)CN)N)NC([C@H](CCN)O)=O)[C@H](O)[C@H]([C@@H]([C@H]1CO)O)N,0.21,10.1124/dmd.118.082966,51025-85-5
Argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,0.17,10.1124/dmd.118.082966,74863-84-6
Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,4.9,10.1124/dmd.118.082966,129722-12-9
Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,15,10.1124/dmd.118.082966,88495-63-0
Articaine,s1c(C(OC)=O)c(NC([C@@H](C)NCCC)=O)c(c1)C,7.7,10.1124/dmd.118.082966,23964-58-1
Asarone,c1(c(cc(OC)c(c1)OC)OC)\C=C\C,1,10.1124/dmd.118.082966,2883-98-9
Ascorbic acid,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,0.35,10.1124/dmd.118.082966,50-81-7
Asenapine,c12c(cccc1)Oc1ccc(cc1[C@@H]1[C@@H]2CN(C1)C)Cl,23,10.1124/dmd.118.082966,65576-45-6
Aspoxicillin,N12[C@@H]([C@@H](NC([C@@H](c3ccc(O)cc3)NC([C@@H](CC(NC)=O)N)=O)=O)C2=O)SC(C)(C)[C@@H]1C(O)=O,0.27,10.1124/dmd.118.082966,63358-49-6
Astragaloside IV,CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O,0.12,10.1124/dmd.118.082966,84687-43-4
Astromicin,O1[C@@H]([C@@H](CC[C@H]1[C@@H](N)C)N)O[C@@H]1[C@H]([C@@H]([C@H](OC)[C@H](N(C)C(CN)=O)[C@H]1O)O)N,0.23,10.1124/dmd.118.082966,55779-06-1
Asunaprevir,COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5cc(Cl)ccc15,2.77,10.1124/dmd.118.082966,630420-16-5
Atenolol,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.95,10.1124/dmd.118.082966,29122-68-7
Atipamizole,[nH]1cncc1C1(Cc2c(C1)cccc2)CC,2.7,10.1124/dmd.118.082966,104054-27-5
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,0.85,10.1124/dmd.118.082966,83015-26-3
Atovaquone,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,0.6,10.1124/dmd.118.082966,95233-18-4
Atracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC,0.1,10.1124/dmd.118.082966,64228-79-1
Atropine,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,3.3,10.1124/dmd.118.082966,51-55-8
Avarofloxacin,COc1c2c(cc(c1N3CCC/C(=C(/CN)\F)/C3)F)c(=O)c(cn2C4CC4)C(=O)O,1.13,10.1124/dmd.118.082966,878592-87-1
Avibactam,N12C(=O)N([C@H](CC[C@H]1C(=O)N)C2)OS(=O)(=O)O,0.24,10.1124/dmd.118.082966,1192500-31-4
Avitriptan,CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CCCN3CCN(CC3)c4c(cncn4)OC,0.87,10.1124/dmd.118.082966,151140-96-4
Avosentan,O=S(=O)(c1ncc(cc1)C)Nc1nc(c2ccncc2)nc(c1Oc1ccccc1OC)OC,0.27,10.1124/dmd.118.082966,290815-26-8
Azacytidine,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0.47,10.1124/dmd.118.082966,320-67-2
Azapropazone,CCCC1C(=O)N2N(C1=O)c3cc(C)ccc3N=C2N(C)C,0.12,10.1124/dmd.118.082966,13539-59-8
AZD4877,Cc1ccc(cc1)C(=O)N(CCCN)C(c2nc3c(c(ns3)C)c(=O)n2Cc4ccccc4)C(C)C,6.74,10.1124/dmd.118.082966,1176760-49-8
Azelastine,CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,15,10.1124/dmd.118.082966,58581-89-8
Azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,13,10.1124/dmd.118.082966,149908-53-2
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,33,10.1124/dmd.118.082966,83905-01-5
Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O,0.26,10.1124/dmd.118.082966,37091-66-0
Aztreonam,C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.18,10.1124/dmd.118.082966,78110-38-0
Baclofen,c1cc(ccc1C(CC(=O)O)CN)C,0.65,10.1124/dmd.118.082966,1134-47-0
Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,1.6,10.1124/dmd.118.082966,81732-65-2
Basimglurant,Cc1c(nc(n1c2ccc(cc2)F)C)C#Cc3ccnc(c3)Cl,9.7,10.1124/dmd.118.082966,802906-73-6
Batanopride,c1(c(cc(Cl)c(c1)N)C(NCCN(CC)CC)=O)O[C@@H](C(C)=O)C,1.5,10.1124/dmd.118.082966,102670-46-2
Batifiban,[C@@H]12N(C(=O)[C@H](Cc3c4c([nH]c3)cccc4)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSSC[C@H](NC1=O)C(=O)N)CCCNC(=N)N)CC(=O)O)CCC2,0.42,10.1124/dmd.118.082966,710312-77-9
Bazedoxifene,c1cc2n(c(c3ccc(cc3)O)c(c2cc1O)C)Cc1ccc(OCCN2CCCCCC2)cc1,15.4,10.1124/dmd.118.082966,198481-32-2
BB 83698,CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N2CCN(Cc3ccc4OCOc4c3)CC2,1.1,10.1124/dmd.118.082966,325795-25-3
Becatecarin,n1([C@H]2[C@@H]([C@@H](O)[C@@H]([C@H](O2)CO)OC)O)c2c3c(c4C(=O)N(C(c4c2c2c1c(Cl)ccc2)=O)CCN(CC)CC)c1cccc(c1[nH]3)Cl,8.9,10.1124/dmd.118.082966,119673-08-4
Beclabuvir,CN1C[C@H]2CC[C@@H](C1)N2C(=O)[C@]34C[C@H]3c5cc(ccc5-c6c(c7ccc(cc7n6C4)C(=O)NS(=O)(=O)N(C)C)C8CCCCC8)OC,0.5,10.1124/dmd.118.082966,958002-33-0
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,0.29,10.1124/dmd.118.082966,5534/9/8
Belinostat,c1c(cccc1\C=C\C(NO)=O)S(=O)(=O)Nc1ccccc1,0.8,10.1124/dmd.118.082966,414864-00-9
Bendamustine,c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2,0.22,10.1124/dmd.118.082966,16506-27-7
Benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)N3C(=O)Nc4ccccc34,3.8,10.1124/dmd.118.082966,2062-84-2
Benzydamine,c1(OCCCN(C)C)c2c(n(n1)Cc1ccccc1)cccc2,1.53,10.1124/dmd.118.082966,642-72-8
Bepridil,N(c1ccccc1)(C[C@@H](N1CCCC1)COCC(C)C)Cc1ccccc1,10.1,10.1124/dmd.118.082966,64706-54-3
Berubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)OCc6ccccc6,48,10.1124/dmd.118.082966,677017-23-1
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.3,10.1124/dmd.118.082966,378-44-9
Betamipron,OC(=O)CCNC(=O)c1ccccc1,0.28,10.1124/dmd.118.082966,3440-28-6
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,4.8,10.1124/dmd.118.082966,63659-18-7
Bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0.67,10.1124/dmd.118.082966,59170-23-9
BI2536,c12c(N(C(=O)[C@H](N1C1CCCC1)CC)C)cnc(n2)Nc1c(cc(C(=O)NC2CCN(CC2)C)cc1)OC,31.2,10.1124/dmd.118.082966,755038-02-9
Biapenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)[O-])SC3C[n+]4cncn4C3,0.2,10.1124/dmd.118.082966,120410-24-4
Bidisomide,[H]N([H])C([C@](CCN1CCCCC1)(CCN(C(C)C)C(C)=O)c1ccccc1[Cl])=O,2.6,10.1124/dmd.118.082966,103810-45-3
Bilastine,C(C(C)(c1ccc(cc1)CCN1CCC(CC1)c1nc2c(n1CCOCC)cccc2)C)(=O)O,0.61,10.1124/dmd.118.082966,202189-78-4
Bilobalide,CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC4OC(=O)C(O)C134,2.5,10.1124/dmd.118.082966,33570-04-6
Bimatoprost,C(\[C@@H]1[C@H]([C@@H](O)C[C@H]1O)C\C=C/CCCC(=O)NCC)=C\[C@H](CCc1ccccc1)O,0.67,10.1124/dmd.118.082966,155206-00-1
Binodenoson,c1nc2c(nc(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N/N=C/C4CCCCC4)N,0.4,10.1124/dmd.118.082966,144348-08-3
Biolimus A9,O=C1N2[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@@H](OC)[C@@H](CC3)OCCOCC)C)CC(=O)[C@H](C)/C=C(\C)/[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@H]3O[C@](C1=O)(O)[C@H](C)CC3)OC)\C)C)C)CCCC2,44.5,10.1124/dmd.118.082966,851536-75-9
