Molecule_Name,Smiles,human_fup,Source,CAS/InChiKey
Almitrine,C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1,0.01,10.1124/dmd.118.082966,27469-53-0
Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,0.6,10.1124/dmd.118.082966,154323-57-6
Alosetron,Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C,0.18,10.1124/dmd.118.082966,122852-42-0
Alprazolam,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.29,10.1124/dmd.118.082966,28981-97-7
Alprenolol,CC(C)NCC(O)COc1ccccc1CC=C,0.18,10.1124/dmd.118.082966,13655-52-2
Alvimopan,C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O,0.2,10.1124/dmd.118.082966,156053-89-3
Amantadine,NC12CC3CC(CC(C3)C1)C2,0.33,10.1124/dmd.118.082966,768-94-5
Amdinocillin,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,0.9,10.1124/dmd.118.082966,32887-01-7
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,0.88,10.1124/dmd.118.082966,37517-28-5
"Aminocamptothecin, 9-",CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O,0.003,10.1124/dmd.118.082966,91421-43-1
"Aminohexanoic acid, 6-",NCCCCCC(=O)O,0.92,10.1124/dmd.118.082966,60-32-2
Aminolevulinic acid,NCC(CCC(O)=O)=O,0.88,10.1124/dmd.118.082966,106-60-5
"Aminosalicylic acid, 5-",Nc1ccc(O)c(c1)C(=O)O,0.39,10.1124/dmd.118.082966,89-57-6
Amiodarone ,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,0.0002,10.1124/dmd.118.082966,1951-25-3
Amiprilose,O1[C@H]2[C@@H]([C@H]([C@H]1[C@H](O)CO)OCCCN(C)C)OC(C)(C)O2,0.97,10.1124/dmd.118.082966,56824-20-5
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3ccccc13,0.07,10.1124/dmd.118.082966,50-48-6
Amlodipine,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,0.005,10.1124/dmd.118.082966,88150-42-9
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.85,10.1124/dmd.118.082966,26787-78-0
AMP579,CC[C@H](Cc1c(ccs1)Cl)Nc2c3ccn(c3ncn2)[C@@H]4C[C@@H]([C@H]([C@H]4O)O)C(=O)NCC,0.03,10.1124/dmd.118.082966,213453-89-5
Amphetamine (-d),c1(ccccc1)C[C@H](C)N,0.8,10.1124/dmd.118.082966,51-64-9
Amphotericin B,[H]N([H])[C@@H]1[C@@H]([C@@H](O[C@@H]2C[C@H]3[C@H](C(=O)O[H])[C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@@H](C)[C@H](C)[C@@H]([C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)O[H])O[H])O[H])O[H])O[H])O[H])(O[H])O3)O[H])O[C@H](C)[C@H]1O[H])O[H],0.03,10.1124/dmd.118.082966,1397-89-3
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.85,10.1124/dmd.118.082966,69-53-4
Amrinone,NC1=CC(=CNC1=O)c2ccncc2,0.89,10.1124/dmd.118.082966,60719-84-8
Amsacrine,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,0.029,10.1124/dmd.118.082966,51264-14-3
Amsalog,CNC(=O)c1cccc2c(Nc3ccc(NS(=O)(=O)C)cc3OC)c4cccc(C)c4nc12,0.0011,10.1124/dmd.118.082966,80841-47-0
Anidulafungin,CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@@H](NC(=O)C(NC(=O)[C@@H]6C[C@@H](O)CN6C(=O)C(NC4=O)[C@@H](C)O)[C@H](O)[C@@H](O)c7ccc(O)cc7)[C@@H](C)O,0.16,10.1124/dmd.118.082966,166663-25-8
Antipyrine,CN1N(C(=O)C=C1C)c2ccccc2,0.93,10.1124/dmd.118.082966,60-80-0
Antofloxacin,O=C(C(C(=C(C(=C1F)N(CCN2C)CC2)OC2)N(C3)[C@H]2C)=C1N)C=3C(O)=O,0.82,10.1124/dmd.118.082966,119354-43-7
Apalcillin,[H]N(C([C@@H](c1ccccc1)N([H])C(c1cnc2cccnc2c1O[H])=O)=O)[C@@H]1C2N(C1=O)[C@@H](C(=O)O[H])C(C)(C)S2,0.1,10.1124/dmd.118.082966,63469-19-2
Apixaban,N1(CCc2c(C1=O)n(nc2C(=O)N)c1ccc(cc1)OC)c1ccc(cc1)N1CCCCC1=O,0.13,10.1124/dmd.118.082966,503612-47-3
Apomorphine,c12c3c4c(ccc(c4O)O)C[C@H]1[N@@](CCc2ccc3)C,0.05,10.1124/dmd.118.082966,58-00-4
Apremilast,CCOc1cc(ccc1OC)[C@@H](CS(=O)(=O)C)N2C(=O)c3cccc(c3C2=O)CC(=O)C,0.32,10.1124/dmd.118.082966,608141-41-9
Aprepitant,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,0.05,10.1124/dmd.118.082966,170729-80-3
Argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,0.46,10.1124/dmd.118.082966,74863-84-6
Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,0.01,10.1124/dmd.118.082966,129722-12-9
Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.25,10.1124/dmd.118.082966,88495-63-0
Articaine,s1c(C(OC)=O)c(NC([C@@H](C)NCCC)=O)c(c1)C,0.46,10.1124/dmd.118.082966,23964-58-1
Ascorbic acid,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,0.26,10.1124/dmd.118.082966,50-81-7
Asenapine,c12c(cccc1)Oc1ccc(cc1[C@@H]1[C@@H]2CN(C1)C)Cl,0.05,10.1124/dmd.118.082966,65576-45-6
Astragaloside IV,CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O,0.14,10.1124/dmd.118.082966,84687-43-4
Asunaprevir,COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5cc(Cl)ccc15,0.012,10.1124/dmd.118.082966,630420-16-5
Atenolol,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.94,10.1124/dmd.118.082966,29122-68-7
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,0.02,10.1124/dmd.118.082966,83015-26-3
Atovaquone,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,0.001,10.1124/dmd.118.082966,95233-18-4
Atracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC,0.52,10.1124/dmd.118.082966,64228-79-1
Atropine,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,0.61,10.1124/dmd.118.082966,51-55-8
Avarofloxacin,COc1c2c(cc(c1N3CCC/C(=C(/CN)\F)/C3)F)c(=O)c(cn2C4CC4)C(=O)O,0.34,10.1124/dmd.118.082966,878592-87-1
Avibactam,N12C(=O)N([C@H](CC[C@H]1C(=O)N)C2)OS(=O)(=O)O,0.93,10.1124/dmd.118.082966,1192500-31-4
Axitinib,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4,0.004,10.1124/dmd.118.082966,319460-85-0
Azapropazone,CCCC1C(=O)N2N(C1=O)c3cc(C)ccc3N=C2N(C)C,0.004,10.1124/dmd.118.082966,13539-59-8
Azelastine,CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,0.17,10.1124/dmd.118.082966,58581-89-8
Azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,0.06,10.1124/dmd.118.082966,149908-53-2
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.88,10.1124/dmd.118.082966,83905-01-5
Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O,0.65,10.1124/dmd.118.082966,37091-66-0
Aztreonam,C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.4,10.1124/dmd.118.082966,78110-38-0
Baclofen,c1cc(ccc1C(CC(=O)O)CN)C,0.69,10.1124/dmd.118.082966,1134-47-0
Basimglurant,Cc1c(nc(n1c2ccc(cc2)F)C)C#Cc3ccnc(c3)Cl,0.01,10.1124/dmd.118.082966,802906-73-6
Batanopride,c1(c(cc(Cl)c(c1)N)C(NCCN(CC)CC)=O)O[C@@H](C(C)=O)C,0.46,10.1124/dmd.118.082966,102670-46-2
Bazedoxifene,c1cc2n(c(c3ccc(cc3)O)c(c2cc1O)C)Cc1ccc(OCCN2CCCCCC2)cc1,0.02,10.1124/dmd.118.082966,198481-32-2
BB 83698,CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N2CCN(Cc3ccc4OCOc4c3)CC2,0.2,10.1124/dmd.118.082966,325795-25-3
Beclabuvir,CN1C[C@H]2CC[C@@H](C1)N2C(=O)[C@]34C[C@H]3c5cc(ccc5-c6c(c7ccc(cc7n6C4)C(=O)NS(=O)(=O)N(C)C)C8CCCCC8)OC,0.01,10.1124/dmd.118.082966,958002-33-0
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,0.13,10.1124/dmd.118.082966,5534-09-8
Belinostat,c1c(cccc1\C=C\C(NO)=O)S(=O)(=O)Nc1ccccc1,0.06,10.1124/dmd.118.082966,414864-00-9
Bendamustine,c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2,0.05,10.1124/dmd.118.082966,16506-27-7
Benzydamine,c1(OCCCN(C)C)c2c(n(n1)Cc1ccccc1)cccc2,0.8,10.1124/dmd.118.082966,642-72-8
Bepridil,N(c1ccccc1)(C[C@@H](N1CCCC1)COCC(C)C)Cc1ccccc1,0.001,10.1124/dmd.118.082966,64706-54-3
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.36,10.1124/dmd.118.082966,378-44-9
Betamipron,OC(=O)CCNC(=O)c1ccccc1,0.17,10.1124/dmd.118.082966,3440-28-6
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.4,10.1124/dmd.118.082966,63659-18-7
Bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0.015,10.1124/dmd.118.082966,59170-23-9
Biapenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)[O-])SC3C[n+]4cncn4C3,0.92,10.1124/dmd.118.082966,120410-24-4
Bilastine,C(C(C)(c1ccc(cc1)CCN1CCC(CC1)c1nc2c(n1CCOCC)cccc2)C)(=O)O,0.13,10.1124/dmd.118.082966,202189-78-4
Bimatoprost,C(\[C@@H]1[C@H]([C@@H](O)C[C@H]1O)C\C=C/CCCC(=O)NCC)=C\[C@H](CCc1ccccc1)O,0.12,10.1124/dmd.118.082966,155206-00-1
Biperiden,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,0.097,10.1124/dmd.118.082966,514-65-8
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.66,10.1124/dmd.118.082966,66722-44-9
Bivalirudin,C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N,1,10.1124/dmd.118.082966,128270-60-0
BLP1654,N12[C@@H](C(S[C@@H]2[C@@H](C1=O)NC(=O)[C@@H](c1ccccc1)NC(=O)NC(=N)N)(C)C)C(=O)O,0.8,10.1124/dmd.118.082966,28889-87-4
BMS-214662,O=S(=O)(N1Cc2cc(ccc2N(Cc3cnc[nH]3)C[C@H]1Cc4ccccc4)C#N)c5cccs5,0.01,10.1124/dmd.118.082966,195987-41-8
Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,0.17,10.1124/dmd.118.082966,179324-69-7
Bosentan,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,0.037,10.1124/dmd.118.082966,147536-97-8
Brexpiprazole,c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4,0.002,10.1124/dmd.118.082966,913611-97-9
Brivaracetam,CCC[C@H]1CN([C@@H](CC)C(=O)N)C(=O)C1,0.825,10.1124/dmd.118.082966,357336-20-0
Bromazepam,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,0.48,10.1124/dmd.118.082966,1812-30-2
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,0.0011,10.1124/dmd.118.082966,91714-94-2
Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0.6,10.1124/dmd.118.082966,4093-35-0
Bromotetrandrine,O(C)c1c2c3c(c(c1OC)Br)CCN([C@H]3Cc1cc(c(cc1)OC)Oc1ccc(C[C@H]3c4cc(O2)c(OC)cc4CCN3C)cc1)C,0.22,10.1124/dmd.118.082966,62067-29-2
Brotizolam,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Br)sc4n12,0.092,10.1124/dmd.118.082966,57801-81-7
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0.13,10.1124/dmd.118.082966,51333-22-3
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,0.4,10.1124/dmd.118.082966,55837-25-7
Bufuralol,CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,0.19,10.1124/dmd.118.082966,54340-62-4
Bumetanide,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,0.031,10.1124/dmd.118.082966,28395-03-1
Bunazosin,CCCC(=O)N1CCCN(CC1)c2nc(N)c3cc(OC)c(OC)cc3n2,0.06,10.1124/dmd.118.082966,80755-51-7
Bupivacaine,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,0.056,10.1124/dmd.118.082966,38396-39-3
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,0.04,10.1124/dmd.118.082966,52485-79-7
Busulphan,CS(=O)(=O)OCCCCOS(=O)(=O)C,1,10.1124/dmd.118.082966,55-98-1
Butorphanol,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1,0.17,10.1124/dmd.118.082966,42408-82-2
Butylbiguanide,CCCCNC(=N)NC(=N)N,0.9,10.1124/dmd.118.082966,692-13-7
Cabazitaxel,C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C,0.24,10.1124/dmd.118.082966,183133-96-2
Caffeine,CN1C(=O)N(C)c2ncn(C)c2C1=O,0.64,10.1124/dmd.118.082966,58-08-2
Canagliflozin,Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,0.01,10.1124/dmd.118.082966,842133-18-0
Candesartan,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,0.002,10.1124/dmd.118.082966,139481-59-7
Candoxatrilat,[H]N(C1CCC(CC1)C(=O)O[H])C(C1(CCCC1)CC[C@@H](COCOC)C(=O)O[H])=O,0.872,10.1124/dmd.118.082966,123122-54-3
Cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12,0.02,10.1124/dmd.118.082966,163706-06-7
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.73,10.1124/dmd.118.082966,62571-86-2
Carbazeran,c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC,0.08,10.1124/dmd.118.082966,70724-25-3
Carbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.52,10.1124/dmd.118.082966,4697-36-3
Carboplatin,N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1,1,10.1124/dmd.118.082966,41575-94-4
Carebastine,C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1,0.05,10.1124/dmd.118.082966,90729-42-3
Carfilzomib,C1O[C@]1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)=O)CC(C)C)=O)Cc1ccccc1)=O)CC(C)C)=O)C,0.02,10.1124/dmd.118.082966,868540-17-4
Carmustine (BCNU),ClCCNC(=O)N(CCCl)N=O,0.23,10.1124/dmd.118.082966,154-93-8
Carnitine_L,C([N+](C)(C)C)[C@@H](CC(=O)[O-])O,1,10.1124/dmd.118.082966,406-76-8
Carprofen,CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O,0.001,10.1124/dmd.118.082966,53716-49-7
Carumonam,NC(=O)OC[C@@H]1[C@H](NC(=O)\C(=N/OCC(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.72,10.1124/dmd.118.082966,87638-04-8
Carvedilol,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,0.02,10.1124/dmd.118.082966,72956-09-3
Casopitant,c1(cc(cc(c1)[C@H](N(C(=O)N1CC[C@@H](C[C@@H]1c1c(cc(cc1)F)C)N1CCN(CC1)C(=O)C)C)C)C(F)(F)F)C(F)(F)F,1,10.1124/dmd.118.082966,414910-27-3
Caspofungin,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)C(O)c4ccc(O)cc4)C(O)CCN,0.035,10.1124/dmd.118.082966,162808-62-0
Cefadroxil,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,0.39,10.1124/dmd.118.082966,50370-12-2
Cefamandole,Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O,0.25,10.1124/dmd.118.082966,34444-01-4
Cefatrizine,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc(O)cc4,0.4,10.1124/dmd.118.082966,51627-14-6
Cefazolin,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1,0.18,10.1124/dmd.118.082966,25953-19-9
Cefepime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4,0.78,10.1124/dmd.118.082966,88040-23-7
Cefetamet,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)\c3csc(N)n3,0.78,10.1124/dmd.118.082966,65052-63-3
Cefixime,Nc1nc(cs1)\C(=N\OCC(=O)O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C,0.31,10.1124/dmd.118.082966,79350-37-1
Cefmenoxime,N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C,0.31,10.1124/dmd.118.082966,65085-01-0
Cefmetazole,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C,0.15,10.1124/dmd.118.082966,56796-20-4
Cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)\c4csc(N)n4,0.18,10.1124/dmd.118.082966,69739-16-8
Cefonicid,N12[C@@H]([C@@H](NC([C@@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)CS(O)(=O)=O,0.02,10.1124/dmd.118.082966,61270-58-4
Cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,0.07,10.1124/dmd.118.082966,62893-19-0
