Molecule_Name,Smiles,human_mrt,Source
Albuterol (salbutamol),CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,4.1,10.1124/dmd.118.082966
Alcuronium,OC\C=C/1\C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C5=CN6[C@H]7C(=CN([C@H]35)c8ccccc48)[C@H]9C[C@H]%10[C@@]7(CC[N@@+]%10(CC=C)C/C/9=C/CO)c%11ccccc6%11,4.1,10.1124/dmd.118.082966
Alectinib,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,13.77,10.1124/dmd.118.082966
Alendronate,C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O,2.1,10.1124/dmd.118.082966
Alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,1.9,10.1124/dmd.118.082966
Alfuzosin,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3,4.2,10.1124/dmd.118.082966
Alinidine,N(c1c(cccc1Cl)Cl)(C=1NCCN1)CC=C,3.77,10.1124/dmd.118.082966
Alizapride,COc1cc2nn[nH]c2cc1C(=O)NCC3CCCN3CC=C,4,10.1124/dmd.118.082966
Allopurinol,O=C1NC=Nc2[nH]ncc12,0.88,10.1124/dmd.118.082966
Almitrine,C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1,607,10.1124/dmd.118.082966
Almokalant,C(c1ccc(cc1)OC[C@@H](C[N@@](CCC[S@@](=O)CCC)CC)O)#N,2.65,10.1124/dmd.118.082966
Almorexant,CNC(=O)C(N1CCC2=C(C=C(OC)C(OC)=C2)[C@@H]1CCC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,15.9,10.1124/dmd.118.082966
Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,4.2,10.1124/dmd.118.082966
Alosetron,Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C,2.1,10.1124/dmd.118.082966
Alpiropride,C1C[N@@]([C@@H](C1)CNC(c1c(cc(c(c1)S(NC)(=O)=O)N)OC)=O)CC=C,7,10.1124/dmd.118.082966
Alprazolam,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,18,10.1124/dmd.118.082966
Alprenolol,CC(C)NCC(O)COc1ccccc1CC=C,3.6,10.1124/dmd.118.082966
Alprostadil,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,0.9,10.1124/dmd.118.082966
Alvimopan,C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O,1.24,10.1124/dmd.118.082966
Amantadine,NC12CC3CC(CC(C3)C1)C2,23,10.1124/dmd.118.082966
Amdinocillin,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,1,10.1124/dmd.118.082966
Amezinium,c1c(cc([n+](n1)c1ccccc1)OC)N,13,10.1124/dmd.118.082966
Amifostine,C(SP(O)(O)=O)CNCCCN,0.05,10.1124/dmd.118.082966
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,2.4,10.1124/dmd.118.082966
"Aminocamptothecin, 9-",CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O,5.6,10.1124/dmd.118.082966
"Aminohexanoic acid, 6-",NCCCCCC(=O)O,2.6,10.1124/dmd.118.082966
Aminolevulinic acid,NCC(CCC(O)=O)=O,1.06,10.1124/dmd.118.082966
"Aminosalicylic acid, 5-",Nc1ccc(O)c(c1)C(=O)O,0.59,10.1124/dmd.118.082966
Amiodarone ,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,620,10.1124/dmd.118.082966
Amiprilose,O1[C@H]2[C@@H]([C@H]([C@H]1[C@H](O)CO)OCCCN(C)C)OC(C)(C)O2,5,10.1124/dmd.118.082966
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3ccccc13,24,10.1124/dmd.118.082966
Amlodipine,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,40,10.1124/dmd.118.082966
Amodiaquine,CCN(CC)Cc1cc(ccc1O)Nc2ccnc3c2ccc(c3)Cl,1.34,10.1124/dmd.118.082966
Amonafide,c12c3C(N(CCN(C)C)C(c1cccc2cc(c3)N)=O)=O,6.34,10.1124/dmd.118.082966
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1.3,10.1124/dmd.118.082966
AMP579,CC[C@H](Cc1c(ccs1)Cl)Nc2c3ccn(c3ncn2)[C@@H]4C[C@@H]([C@H]([C@H]4O)O)C(=O)NCC,1.18,10.1124/dmd.118.082966
Amphetamine (-d),c1(ccccc1)C[C@H](C)N,10,10.1124/dmd.118.082966
Amphotericin B,[H]N([H])[C@@H]1[C@@H]([C@@H](O[C@@H]2C[C@H]3[C@H](C(=O)O[H])[C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@@H](C)[C@H](C)[C@@H]([C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)O[H])O[H])O[H])O[H])O[H])O[H])(O[H])O3)O[H])O[C@H](C)[C@H]1O[H])O[H],61,10.1124/dmd.118.082966
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1.3,10.1124/dmd.118.082966
Amrinone,NC1=CC(=CNC1=O)c2ccncc2,2.4,10.1124/dmd.118.082966
Amsacrine,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,6.2,10.1124/dmd.118.082966
Amsalog,CNC(=O)c1cccc2c(Nc3ccc(NS(=O)(=O)C)cc3OC)c4cccc(C)c4nc12,1.9,10.1124/dmd.118.082966
Amygdalin,O1[C@@H](O[C@@H](c2ccccc2)C#N)[C@@H]([C@@H](O)[C@@H]([C@H]1CO[C@@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO)O)O,1.83,10.1124/dmd.118.082966
Anhydrovinblastine,CCC1=C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,17,10.1124/dmd.118.082966
Anidulafungin,CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@@H](NC(=O)C(NC(=O)[C@@H]6C[C@@H](O)CN6C(=O)C(NC4=O)[C@@H](C)O)[C@H](O)[C@@H](O)c7ccc(O)cc7)[C@@H](C)O,45,10.1124/dmd.118.082966
Antazoline,c1ccc(cc1)CN(CC2=NCCN2)c3ccccc3,3.45,10.1124/dmd.118.082966
Antipyrine,CN1N(C(=O)C=C1C)c2ccccc2,20,10.1124/dmd.118.082966
Antofloxacin,O=C(C(C(=C(C(=C1F)N(CCN2C)CC2)OC2)N(C3)[C@H]2C)=C1N)C=3C(O)=O,18.3,10.1124/dmd.118.082966
Apalcillin,[H]N(C([C@@H](c1ccccc1)N([H])C(c1cnc2cccnc2c1O[H])=O)=O)[C@@H]1C2N(C1=O)[C@@H](C(=O)O[H])C(C)(C)S2,1.4,10.1124/dmd.118.082966
Apomorphine,c12c3c4c(ccc(c4O)O)C[C@H]1[N@@](CCc2ccc3)C,0.67,10.1124/dmd.118.082966
Aprepitant,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,16,10.1124/dmd.118.082966
AR-709,CN(C)C(=O)c1c(c2cc(ccc2[nH]1)Cl)Cc3cc4c(cc(c(c4o3)OC)OC)Cc5cnc(nc5N)N,11.27,10.1124/dmd.118.082966
Arbekacin,O1[C@H](O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@H]2O[C@@H](CC[C@H]2N)CN)N)NC([C@H](CCN)O)=O)[C@H](O)[C@H]([C@@H]([C@H]1CO)O)N,2.73,10.1124/dmd.118.082966
Argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,0.57,10.1124/dmd.118.082966
Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,98,10.1124/dmd.118.082966
Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.32,10.1124/dmd.118.082966
Articaine,s1c(C(OC)=O)c(NC([C@@H](C)NCCC)=O)c(c1)C,1.04,10.1124/dmd.118.082966
Asarone,c1(c(cc(OC)c(c1)OC)OC)\C=C\C,1.9,10.1124/dmd.118.082966
Ascorbic acid,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,5.5,10.1124/dmd.118.082966
Asenapine,c12c(cccc1)Oc1ccc(cc1[C@@H]1[C@@H]2CN(C1)C)Cl,30.9,10.1124/dmd.118.082966
Aspoxicillin,N12[C@@H]([C@@H](NC([C@@H](c3ccc(O)cc3)NC([C@@H](CC(NC)=O)N)=O)=O)C2=O)SC(C)(C)[C@@H]1C(O)=O,1.61,10.1124/dmd.118.082966
Astragaloside IV,CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O,2.78,10.1124/dmd.118.082966
Astromicin,O1[C@@H]([C@@H](CC[C@H]1[C@@H](N)C)N)O[C@@H]1[C@H]([C@@H]([C@H](OC)[C@H](N(C)C(CN)=O)[C@H]1O)O)N,2.8,10.1124/dmd.118.082966
Asunaprevir,COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5cc(Cl)ccc15,3.92,10.1124/dmd.118.082966
Atenolol,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,6.3,10.1124/dmd.118.082966
Atipamizole,[nH]1cncc1C1(Cc2c(C1)cccc2)CC,2.3,10.1124/dmd.118.082966
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.5,10.1124/dmd.118.082966
Atovaquone,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,67,10.1124/dmd.118.082966
Atracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC,0.29,10.1124/dmd.118.082966
Atropine,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,7.2,10.1124/dmd.118.082966
Avarofloxacin,COc1c2c(cc(c1N3CCC/C(=C(/CN)\F)/C3)F)c(=O)c(cn2C4CC4)C(=O)O,24.21,10.1124/dmd.118.082966
Avibactam,N12C(=O)N([C@H](CC[C@H]1C(=O)N)C2)OS(=O)(=O)O,1.4,10.1124/dmd.118.082966
Avitriptan,CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CCCN3CCN(CC3)c4c(cncn4)OC,2.25,10.1124/dmd.118.082966
Avosentan,O=S(=O)(c1ncc(cc1)C)Nc1nc(c2ccncc2)nc(c1Oc1ccccc1OC)OC,8.8,10.1124/dmd.118.082966
Azacytidine,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0.22,10.1124/dmd.118.082966
Azapropazone,CCCC1C(=O)N2N(C1=O)c3cc(C)ccc3N=C2N(C)C,14,10.1124/dmd.118.082966
AZD4877,Cc1ccc(cc1)C(=O)N(CCCN)C(c2nc3c(c(ns3)C)c(=O)n2Cc4ccccc4)C(C)C,19,10.1124/dmd.118.082966
Azelastine,CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,27,10.1124/dmd.118.082966
Azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,100,10.1124/dmd.118.082966
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,57,10.1124/dmd.118.082966
Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O,1.7,10.1124/dmd.118.082966
Aztreonam,C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,2.1,10.1124/dmd.118.082966
Baclofen,c1cc(ccc1C(CC(=O)O)CN)C,6.36,10.1124/dmd.118.082966
Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,1.4,10.1124/dmd.118.082966
Basimglurant,Cc1c(nc(n1c2ccc(cc2)F)C)C#Cc3ccnc(c3)Cl,57.4,10.1124/dmd.118.082966
Batanopride,c1(c(cc(Cl)c(c1)N)C(NCCN(CC)CC)=O)O[C@@H](C(C)=O)C,2.68,10.1124/dmd.118.082966
Batifiban,[C@@H]12N(C(=O)[C@H](Cc3c4c([nH]c3)cccc4)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSSC[C@H](NC1=O)C(=O)N)CCCNC(=N)N)CC(=O)O)CCC2,2.45,10.1124/dmd.118.082966
Bazedoxifene,c1cc2n(c(c3ccc(cc3)O)c(c2cc1O)C)Cc1ccc(OCCN2CCCCCC2)cc1,37.5,10.1124/dmd.118.082966
BB 83698,CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N2CCN(Cc3ccc4OCOc4c3)CC2,5.9,10.1124/dmd.118.082966
Becatecarin,n1([C@H]2[C@@H]([C@@H](O)[C@@H]([C@H](O2)CO)OC)O)c2c3c(c4C(=O)N(C(c4c2c2c1c(Cl)ccc2)=O)CCN(CC)CC)c1cccc(c1[nH]3)Cl,45.4,10.1124/dmd.118.082966
Beclabuvir,CN1C[C@H]2CC[C@@H](C1)N2C(=O)[C@]34C[C@H]3c5cc(ccc5-c6c(c7ccc(cc7n6C4)C(=O)NS(=O)(=O)N(C)C)C8CCCCC8)OC,6.38,10.1124/dmd.118.082966
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,0.1,10.1124/dmd.118.082966
Belinostat,c1c(cccc1\C=C\C(NO)=O)S(=O)(=O)Nc1ccccc1,0.6,10.1124/dmd.118.082966
Bendamustine,c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2,0.81,10.1124/dmd.118.082966
Benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)N3C(=O)Nc4ccccc34,7.5,10.1124/dmd.118.082966
Benzydamine,c1(OCCCN(C)C)c2c(n(n1)Cc1ccccc1)cccc2,11.4,10.1124/dmd.118.082966
Bepridil,N(c1ccccc1)(C[C@@H](N1CCCC1)COCC(C)C)Cc1ccccc1,19.3,10.1124/dmd.118.082966
Berubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)OCc6ccccc6,43.2,10.1124/dmd.118.082966
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,7.9,10.1124/dmd.118.082966
Betamipron,OC(=O)CCNC(=O)c1ccccc1,0.51,10.1124/dmd.118.082966
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,24,10.1124/dmd.118.082966
Bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,2,10.1124/dmd.118.082966
BI2536,c12c(N(C(=O)[C@H](N1C1CCCC1)CC)C)cnc(n2)Nc1c(cc(C(=O)NC2CCN(CC2)C)cc1)OC,31.3,10.1124/dmd.118.082966
Biapenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)[O-])SC3C[n+]4cncn4C3,1.3,10.1124/dmd.118.082966
Bidisomide,[H]N([H])C([C@](CCN1CCCCC1)(CCN(C(C)C)C(C)=O)c1ccccc1[Cl])=O,7.9,10.1124/dmd.118.082966
Bilastine,C(C(C)(c1ccc(cc1)CCN1CCC(CC1)c1nc2c(n1CCOCC)cccc2)C)(=O)O,3.56,10.1124/dmd.118.082966
Bilobalide,CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC4OC(=O)C(O)C134,4,10.1124/dmd.118.082966
Binodenoson,c1nc2c(nc(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N/N=C/C4CCCCC4)N,0.19,10.1124/dmd.118.082966
Biolimus A9,O=C1N2[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@@H](OC)[C@@H](CC3)OCCOCC)C)CC(=O)[C@H](C)/C=C(\C)/[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@H]3O[C@](C1=O)(O)[C@H](C)CC3)OC)\C)C)C)CCCC2,60.9,10.1124/dmd.118.082966
Biperiden,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,17,10.1124/dmd.118.082966
Biricodar,N1([C@@H](CCCC1)C(=O)OC(CCCc1cnccc1)CCCc1cnccc1)C(=O)C(c1cc(c(c(c1)OC)OC)OC)=O,2.62,10.1124/dmd.118.082966
Bisaramil,CCN1C[C@H]2CN(C)C[C@@H](C1)C2OC(=O)c3ccc(Cl)cc3,8.8,10.1124/dmd.118.082966
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,11,10.1124/dmd.118.082966
Bivalirudin,C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N,0.43,10.1124/dmd.118.082966
Bizelesin,c12c(N(C(c3cc4cc(NC(Nc5cc6c([nH]c(c6)C(N6c7c(c8c([nH]cc8C)c(c7)O)[C@@H](C6)CCl)=O)cc5)=O)ccc4[nH]3)=O)C[C@H]2CCl)cc(O)c2c1c(c[nH]2)C,1.7,10.1124/dmd.118.082966
Bleomycin,O([C@H]([C@H](NC(c1nc([C@@H](NC[C@@H](C(N)=O)N)CC(N)=O)nc(c1C)N)=O)C(N[C@@H]([C@H]([C@@H](C(N[C@H](C(NCCc1nc(c2nc(C(NCCC[S+](C)C)=O)cs2)cs1)=O)[C@@H](C)O)=O)C)O)C)=O)c1c[nH]cn1)[C@@H]1[C@@H](O[C@@H]2[C@@H]([C@@H]([C@@H](O)[C@@H](O2)CO)OC(N)=O)O)[C@@H]([C@@H](O)[C@@H](O1)CO)O,5.77,10.1124/dmd.118.082966
BLP1654,N12[C@@H](C(S[C@@H]2[C@@H](C1=O)NC(=O)[C@@H](c1ccccc1)NC(=O)NC(=N)N)(C)C)C(=O)O,2.5,10.1124/dmd.118.082966
BMS-214662,O=S(=O)(N1Cc2cc(ccc2N(Cc3cnc[nH]3)C[C@H]1Cc4ccccc4)C#N)c5cccs5,1.4,10.1124/dmd.118.082966
