Molecule_Name,Smiles,rat_CL_mL_min_kg,Source
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,27,CHEMBL 35
CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,39,CHEMBL 35
CHEMBL1428,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,56,CHEMBL 35
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,61,CHEMBL 35
CHEMBL31601,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,119,CHEMBL 35
CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,170,CHEMBL 35
CHEMBL178410,COc1ccc(C(=O)c2ccc3oc(CCN4CCC[C@H]4C)cc3c2)cc1,50.83,CHEMBL 35
CHEMBL178192,Cc1cc(C(=O)c2ccc3oc(CCN4CCC[C@H]4C)cc3c2)ccc1F,96.33,CHEMBL 35
CHEMBL1614665,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CS[C@H]12)c1nsc(N)n1,8.8,CHEMBL 35
CHEMBL325166,N=C(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1,65,CHEMBL 35
CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,67,CHEMBL 35
CHEMBL4473211,Cc1noc2ccc(Nc3n[nH]c4ncccc34)cc12,38,CHEMBL 35
CHEMBL364804,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,9,CHEMBL 35
CHEMBL183864,Cc1nc(C#Cc2cncc(-c3cccnc3)c2)cs1,29,CHEMBL 35
CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,82,CHEMBL 35
CHEMBL551786,Cc1cccc(C)c1NC(=O)NCCCNC(C)C,82,CHEMBL 35
CHEMBL4582128,Cc1noc2c(F)cc(Nc3n[nH]c4ncccc34)cc12,30.5,CHEMBL 35
CHEMBL507674,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,23,CHEMBL 35
CHEMBL4475970,O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1OC(F)(F)F,56,CHEMBL 35
CHEMBL191247,O=C(/C=C/c1ccc(C(F)(F)F)nc1N1CCOCC1)Nc1ccc2cccnc2c1,15,CHEMBL 35
CHEMBL2373410,O=C([O-])COc1cccc(C[C@@H]2CCC[C@H]3O[C@]23c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1.[Na+],18.6,CHEMBL 35
CHEMBL1200357,CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+],9.4,CHEMBL 35
CHEMBL108111,N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,9.5,CHEMBL 35
CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,3.6,CHEMBL 35
CHEMBL4451827,Cc1noc2ccc(Nc3n[nH]c4nccnc34)cc12,24.3,CHEMBL 35
CHEMBL109,CCCC(CCC)C(=O)O,4.2,CHEMBL 35
CHEMBL1614666,COc1cccc2c1C(=O)c1cc3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1CC(N)C(I)C(C)O1,37,CHEMBL 35
CHEMBL280378,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,45,CHEMBL 35
CHEMBL3952043,COc1cc(O[C@H]2C[C@H](OC)C2)nc(-c2ccc3c(c2)CC[C@H](CCC(=O)O)O3)c1F,3.4,CHEMBL 35
CHEMBL4781473,COCC(C)N1CN(C2c3ccccc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O,49.1,CHEMBL 35
CHEMBL187857,CSc1nccc(Nc2cc(NC(=O)c3cc(F)cc(N4CCOCC4)c3)ccc2C)n1,25,CHEMBL 35
CHEMBL20634,CN1C(C(=O)Nc2nccs2)=C(O)c2ccccc2S1(=O)=O,0.18,CHEMBL 35
CHEMBL1614669,Cn1cc(/C=C2/C(=O)N3C(C(=O)O)=CS[C@H]23)nn1,137,CHEMBL 35
CHEMBL5196338,N#Cc1ccc(Oc2ccc3c(ccc(=O)n3CCN3CCCCC3)c2)cc1,52.67,CHEMBL 35
CHEMBL194578,CCCc1ccc(-c2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3)no2)cc1,32,CHEMBL 35
CHEMBL555146,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc(F)cc3)ccc2o1,29.5,CHEMBL 35
CHEMBL359462,C[C@@H]1CCCN1CCc1cc2cc(-c3cccc(CO)c3)ccc2o1,51.67,CHEMBL 35
CHEMBL363658,O=C(O)CNCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,39.9,CHEMBL 35
CHEMBL4469413,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(F)cc21,34.33,CHEMBL 35
CHEMBL4590290,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2cc(F)ccc21,17.67,CHEMBL 35
CHEMBL179015,CC(O)c1cccc(-c2ccc3oc(CCN4CCC[C@H]4C)cc3c2)c1,34.83,CHEMBL 35
CHEMBL192530,CCN1c2ncc(CCOc3ccc(C(=O)O)cc3C)cc2C(=O)N(C)c2cccnc21,7.1,CHEMBL 35
CHEMBL1435,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,6.7,CHEMBL 35
CHEMBL178950,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C(=O)C4CC4)cc3)ccc2o1,10.17,CHEMBL 35
CHEMBL4763279,Cc1ccc(C(=O)NC2CC2)cc1-n1ccnc(N[C@@H](c2ccccc2)[C@@H](C)CN2CCCCC2)c1=O,50,CHEMBL 35
CHEMBL178949,CCCC(CCC)n1cc2c3c(nc(C)nc31)N(c1ccc(C(F)(F)F)cc1C(F)(F)F)CC2,10,CHEMBL 35
CHEMBL4529930,C[C@H](CC[C@@H](O)C1CCC1)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,88.33,CHEMBL 35
CHEMBL187319,Cc1nc2cc(OC[C@H](O)CN3CCN(Cc4noc(-c5ccc(C(F)(F)F)cc5)n4)CC3)ccc2s1,22.5,CHEMBL 35
CHEMBL176075,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCCC4)cc3Cl)cc2O1,8.2,CHEMBL 35
CHEMBL174588,CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,91.67,CHEMBL 35
CHEMBL302196,C[C@@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,45,CHEMBL 35
CHEMBL362662,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccccc3)ccc2o1,47.33,CHEMBL 35
CHEMBL191638,O=C(NS(=O)(=O)Cc1ccccc1)c1cccc(C[C@@H]2CCCC=C2c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1,10.2,CHEMBL 35
CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,0.04833,CHEMBL 35
CHEMBL53624,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN(CC(F)(F)F)C4=O)CS[C@H]23)cs1,0.95,CHEMBL 35
CHEMBL44793,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,1.2,CHEMBL 35
CHEMBL1275685,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCC(N(C)C6([C@@H]7CCN(c8c(F)cn9c(=O)c(C(=O)O)cc(C%10CC%10)c9c8C)C7)CC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,1.167,CHEMBL 35
CHEMBL481,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,37,CHEMBL 35
CHEMBL5186480,CN1CCN(C(=O)COc2ccc3cc(Oc4ccccn4)ccc3n2)CC1,54,CHEMBL 35
CHEMBL180368,C[C@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,8,CHEMBL 35
CHEMBL179263,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3cccc(Cl)c3)ccc2o1,47,CHEMBL 35
CHEMBL195014,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc([C@@H]5CCC(F)(F)C5)cc4)n3)cc2)C1,5.8,CHEMBL 35
CHEMBL364838,COC[C@@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C)c1,15.67,CHEMBL 35
CHEMBL181979,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](/C=C/c4cc(C(=O)[O-])no4)C3)[C@H](C)[C@H]12.[Na+],13,CHEMBL 35
CHEMBL196534,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(C5CCCCC5)cc4)n3)cc2)C1,51,CHEMBL 35
CHEMBL195025,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(-c5ccccc5)cc4)n3)cc2)C1,2.9,CHEMBL 35
CHEMBL4539521,CC(C)(C#N)c1cccc(-c2ccnc3[nH]ncc23)n1,22,CHEMBL 35
CHEMBL4569479,CCC(C)(CN)c1cccc(-c2ccnc3[nH]nc(C(F)(F)F)c23)c1,45,CHEMBL 35
CHEMBL5085284,C[C@@H](CN1CCC2(CC1)OC(=O)NC[C@H]2c1cccc(F)c1)NC(=O)c1ccc(F)cc1,119,CHEMBL 35
CHEMBL433572,N[C@@H](CC(=O)N1CCSC1)Cc1cc(F)ccc1F,110,CHEMBL 35
CHEMBL182371,CCCc1c(OCCCCOc2ccc(-c3nn[nH]n3)cc2)ccc(C(C)=O)c1O,33,CHEMBL 35
CHEMBL254779,C[C@@H]1CN(c2ncccc2Cl)CCN1c1nc2ccc(C(C)(C)C)cc2[nH]1,133.67,CHEMBL 35
CHEMBL4636571,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4ccnc(C)c4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,66,CHEMBL 35
CHEMBL4645625,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cn(C)nc4C)C[C@@H]3C(=O)NCCN(C)C)cc2c1,45,CHEMBL 35
CHEMBL426467,C(#Cc1ccccn1)C1=CC(Oc2cccnc2)CCC1,94,CHEMBL 35
CHEMBL186586,CC(=O)NC[C@@H]1CC1c1cccc2oc(CCCCc3ccccc3)cc12,27.5,CHEMBL 35
CHEMBL4561768,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccccc21,48.33,CHEMBL 35
CHEMBL4542440,C[C@@H]1CCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn2C1,8.333,CHEMBL 35
CHEMBL4742814,C[C@@H](N1CN([C@H]2c3ccc(Cl)cc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,5.7,CHEMBL 35
CHEMBL1614646,Cc1cccnc1NS(=O)(=O)c1ccc(C#Cc2ccc(O)c(C(=O)O)c2)cc1,62,CHEMBL 35
CHEMBL189610,COC(=O)NCCOc1ccc(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc3c(c2)OCO3)cc1,0.9167,CHEMBL 35
CHEMBL360885,C[C@@H]1CCCN1CCc1cc2cc(-c3cccc(C(C)(C)O)c3)ccc2o1,20.5,CHEMBL 35
CHEMBL190874,O=C(/C=C/c1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1ccc2cccnc2c1,13.33,CHEMBL 35
CHEMBL190053,CCCC[C@H](NC(=O)O[C@H](Cn1cc(-c2ccc(C(F)(F)F)cc2)cn1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,9.1,CHEMBL 35
CHEMBL145085,COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,47,CHEMBL 35
CHEMBL4750290,CCC[C@H]1C(=O)N[C@@H](C2CCCCCC2)C(=O)N[C@@H](CN)C(=O)N[C@@H](CO[C@H]2C[C@H](N)C2)C(=O)N[C@H](C)CO[C@H](CC2CC3(CCC3)C2)[C@@H](C)C(=O)N1C,40,CHEMBL 35
CHEMBL185523,O=C1Nc2c(Cl)ccc(OCCN3CCOCC3)c2C2(CCCCC2)N1,62.8,CHEMBL 35
CHEMBL369502,C[C@@H]1CCCN1CCc1cc2cc(-c3cccc(C(=O)C4CC4)c3)ccc2o1,14.33,CHEMBL 35
CHEMBL178309,CC(C)c1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,6.8,CHEMBL 35
CHEMBL381192,Clc1cncc(OC2C=C(C#Cc3ccccn3)CCC2)c1,32,CHEMBL 35
CHEMBL196643,C(#Cc1ccccn1)C1=CCCCC1,45,CHEMBL 35
CHEMBL197377,O=C(NC[C@H]1CN(c2ccc(N3CCCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,2.833,CHEMBL 35
CHEMBL364366,Cc1nc2cc(OC[C@H](O)CN3CCN(Cc4noc(-c5ccc(C(F)(F)F)cc5)n4)C[C@@H]3C)ccc2s1,19.7,CHEMBL 35
CHEMBL5090919,C[C@@H](CN1CCC2(CC1)CC(=O)Nc1ccccc12)NC(=O)c1ccc(F)cc1,8.6,CHEMBL 35
CHEMBL5085809,C[C@@H]1CN(C(=O)[C@H](C)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)C[C@@H](C)N1,28,CHEMBL 35
CHEMBL2113096,Cc1nccn1-c1sc(Nc2cnccn2)nc1-c1cccc(C#N)c1,94.4,CHEMBL 35
CHEMBL4483575,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,214,CHEMBL 35
CHEMBL4641201,Cc1ccc2[nH]c(C(=O)N[C@H]3CCN(S(=O)(=O)N(C)C)C[C@@H]3C(=O)NCCN(C)C)cc2c1,40,CHEMBL 35
CHEMBL339323,CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1,28,CHEMBL 35
CHEMBL277474,Cc1cc(=O)n(-c2ccccc2)n1C,10,CHEMBL 35
CHEMBL184799,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CCCC2C(=O)NCCCCC(=O)O)cc1,75.1,CHEMBL 35
CHEMBL4468073,CC(F)(F)c1noc2cc(Nc3n[nH]c4cccnc34)ccc12,27.8,CHEMBL 35
CHEMBL108358,NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,6.9,CHEMBL 35
CHEMBL4633695,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4ccnnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,34,CHEMBL 35
CHEMBL184,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,6.7,CHEMBL 35
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,31.7,CHEMBL 35
CHEMBL185685,Cc1cc(Cl)nnc1N1CCN(C(=O)Nc2ccc(C(C)(C)C)cc2)[C@H](C)C1,108.33,CHEMBL 35
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,40.4,CHEMBL 35
CHEMBL607,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,253,CHEMBL 35
CHEMBL186628,CCCN(Cc1c(C(F)(F)F)nc2n(-c3c(C)cc(C)cc3C)c3ccccc3n12)CC1CC1,5.1,CHEMBL 35
CHEMBL4534060,Cn1ncc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)c1C(F)(F)F,4.8,CHEMBL 35
CHEMBL4539629,CC(C)(C)Cc1noc2cc(Nc3n[nH]c4cccnc34)ccc12,43.2,CHEMBL 35
CHEMBL4544934,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(N3CC4(COC4)C3)cc21,50,CHEMBL 35
CHEMBL194419,CC(C)Cc1ccc(-c2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3)no2)cc1,4.1,CHEMBL 35
CHEMBL4760800,CC(C)N1CN(C2c3ccccc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O,32.7,CHEMBL 35
CHEMBL4786513,O=C1c2c(O)c(=O)ccn2N(C2c3ccccc3CSc3ccccc32)CN1C1CC1,46,CHEMBL 35
CHEMBL4761936,C[C@@H](N1CN([C@H]2c3ccc(F)cc3CSc3ccccc32)n2ccc(=O)c(O)c2C1=O)C(F)(F)F,11.6,CHEMBL 35
