Molecule_Name,Smiles,rat_fup,Source
CHEMBL4649476,COc1ccc(OCC2c3cccn3CC(=O)N2Cc2cccc(F)c2)cc1,0.013,CHEMBL 35
CHEMBL4216691,Cc1onc(CNC(=O)c2c3c(c(Cl)n2C)CC(C)(C)CC3)c1Cn1cccn1,0.003,CHEMBL 35
CHEMBL4204013,Cn1c(Cl)c2c(c1C(=O)NCc1ccncc1OCC(F)(F)F)CCC(C)(C)C2,0.001,CHEMBL 35
CHEMBL4528928,Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cn(C)nc3C)cc2)n[nH]1,0.043,CHEMBL 35
CHEMBL4463314,Cn1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)c(C(F)(F)F)n1,0.054,CHEMBL 35
CHEMBL4534060,Cn1ncc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)c1C(F)(F)F,0.042,CHEMBL 35
CHEMBL4527700,Cn1ncc(NC(=O)[C@@H]2C[C@@H]3C[C@@H]3C[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)c1C(F)(F)F,0.04,CHEMBL 35
CHEMBL3961464,COc1ccc2c(CN3CCC(F)(F)[C@H](CCc4ccc(F)cc4)C3)c[nH]c2c1,0.009,CHEMBL 35
CHEMBL5184381,COC(=O)Nc1cc(-c2cnc(OC[C@@](C)(N)CC(C)C)c(C)c2)ccn1,0.105,CHEMBL 35
CHEMBL3942771,O=S(=O)(Nc1ncns1)c1ccc2c(-c3ccc(C(F)(F)F)cc3C3=CCNCC3)cccc2c1,0.1,CHEMBL 35
CHEMBL3932750,COc1cc(C(F)(F)F)ccc1-c1cccc2cc(S(=O)(=O)Nc3nccs3)ccc12,0.001,CHEMBL 35
CHEMBL5409770,COCc1ccnc(OCc2cn(-c3ccc(F)c(OC(F)F)c3)nn2)n1,0.02362,CHEMBL 35
CHEMBL4172928,O=C(O)C[C@@H](Cc1ccccc1)C(=O)N(c1nc(-c2cc(Cl)ccc2Cl)cs1)C1CC1,0.0001,CHEMBL 35
CHEMBL4174307,CN(C(=O)[C@@H](CC(=O)O)Cc1ccccc1)c1nc(-c2ccccc2Cl)cs1,0.0008,CHEMBL 35
CHEMBL4754382,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1cncc(F)c1,0.32,CHEMBL 35
CHEMBL4788529,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1cccc(S(C)(=O)=O)c1,0.35,CHEMBL 35
CHEMBL3544978,C[C@@H]1CN2c3c(cc4c(N5C(=O)OC[C@@H]5C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,0.13,CHEMBL 35
CHEMBL4129600,CNS(=O)(=O)c1cc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N([C@@H](C)C1CC1)C2,0.08,CHEMBL 35
CHEMBL4457313,CC1(OC(=O)N2CCC(n3ncc(COc4ccc(C(N)=O)cc4F)c3C#N)CC2)CC1,0.044,CHEMBL 35
CHEMBL4097852,Cc1c(C(=O)O)cnn1-c1nc(-c2cccc(C(F)(F)F)c2)cs1,0.00965,CHEMBL 35
CHEMBL2165627,O=C(O)C(=O)Nc1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,0.0216,CHEMBL 35
CHEMBL1783764,CC(C)(CC1Cc2ccccc2C1)NC[C@@H](O)COc1cc(C2CC3CC2C2C(C(=O)O)C32)ccc1C#N,0.0104,CHEMBL 35
CHEMBL4176890,O=S(=O)(c1ccc(C(F)(F)F)cc1)c1cc(F)c(O)c2ncccc12,0.6,CHEMBL 35
CHEMBL5086238,Cc1cc(C)c2c(n1)sc1c(N3CCCC3)ncnc12,0.00054,CHEMBL 35
CHEMBL5077997,Cc1cc(C)c2c(n1)sc1c(N3CC4(COC4)C3)ncnc12,0.00206,CHEMBL 35
CHEMBL4544318,Nc1c(C(=O)c2ccncc2)sc2nc(OCCN3CCOCC3)c3c(c12)CCC3,0.005,CHEMBL 35
CHEMBL3942511,Cc1nnc2sc(C(=O)NCc3ccc(S(F)(F)(F)(F)F)cc3)c(N)c2c1C,0.004,CHEMBL 35
CHEMBL4217988,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,0.00275,CHEMBL 35
CHEMBL4851268,O=C(O)c1cc(Cl)c2oc3ccccc3c(=O)c2c1,0.017,CHEMBL 35
CHEMBL5202351,CC(C)C[C@H](N)c1cc(C#N)c2cc(-c3ccncc3)ccc2n1,0.054,CHEMBL 35
CHEMBL3682786,COc1cc(C(F)(F)F)ccc1-c1nccc2cc(S(=O)(=O)Nc3nccs3)ccc12,0.012,CHEMBL 35
CHEMBL4784595,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1ccccn1,0.22,CHEMBL 35
CHEMBL3944028,COc1ccc2c(CN3CCC(F)(F)[C@H](CCc4cccc(F)c4)C3)c[nH]c2c1,0.002,CHEMBL 35
CHEMBL4851415,Cc1cc(C(=O)NC2CCc3cc(-c4noc(C)n4)ccc32)on1,0.072,CHEMBL 35
CHEMBL4864425,COCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,0.082,CHEMBL 35
CHEMBL4859452,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cn[nH]c2)no1,0.2,CHEMBL 35
CHEMBL4753854,N#Cc1ccc(OC[C@@H](N)CCNS(=O)(=O)c2ccc(Cl)cc2Cl)cc1F,0.0084,CHEMBL 35
CHEMBL4877390,Cc1nc(-c2ccc3c(c2)CCC3NC(=O)c2nnn(C)n2)no1,0.19,CHEMBL 35
CHEMBL4203948,CCN[C@@H]1CCC=C(c2ccc(F)cc2)[C@H]1COc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl.Cl,0.035,CHEMBL 35
CHEMBL4575082,Cc1cc(C)c2c(N)c(C(=O)c3ccc(F)cc3F)sc2n1,0.005,CHEMBL 35
CHEMBL3917975,C[C@H](NC(=O)CCc1nc2cccnc2n1Cc1ccc(OC(F)(F)F)cc1)c1ccc(Cl)cc1,0.02,CHEMBL 35
CHEMBL3906197,COc1nn2cc(-c3ccc(C(F)(F)F)cc3)nc2s1,0.006,CHEMBL 35
CHEMBL4850762,Cc1cc(C(=O)O)cc2c(=O)c3ccccc3oc12,0.0073,CHEMBL 35
CHEMBL4126156,CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,0.12,CHEMBL 35
CHEMBL4633717,O=C(NC[C@H](O)CO)[C@@H]1C[C@H](c2ccccc2)CCN1,0.66,CHEMBL 35
CHEMBL3218112,N#Cc1ccc(OCC2(O)CCN(S(=O)(=O)c3ccc(Cl)cc3Cl)CC2)cc1F,0.013,CHEMBL 35
CHEMBL4174751,O=S(=O)(c1ccc(F)cc1)c1cc(Cl)c(O)c2ncccc12,0.5,CHEMBL 35
CHEMBL4169861,O=S(=O)(c1ccc(O)c2ncccc12)C1CCCC1,0.5,CHEMBL 35
CHEMBL4167128,O=S(=O)(c1cc(F)c(O)c2ncccc12)C1CCCC1,0.2,CHEMBL 35
CHEMBL4749009,C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2C(=O)OC1CC1,0.11,CHEMBL 35
CHEMBL4750685,CCOC(=O)c1cnc2c(OC)cccc2c1-c1cnc(-c2ccccc2OC)c(OC)c1,0.01,CHEMBL 35
CHEMBL1487,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0.00048,CHEMBL 35
CHEMBL3929544,O=S(=O)(Nc1cncc(C(F)(F)F)c1)c1ccccc1C(F)(F)F,0.0017,CHEMBL 35
CHEMBL4208555,O=C(NC[C@@H](Cc1ccccc1)N1CCC(O)(C(F)(F)F)CC1)C1(c2ccc(Cl)cc2)CCCC1,0.00057,CHEMBL 35
CHEMBL4163616,O[C@H]1CNCCC[C@@H]1n1c2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc21,0.025,CHEMBL 35
CHEMBL4217988,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,0.002,CHEMBL 35
CHEMBL3892579,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)CC1c1ccc(F)cc1,0.03,CHEMBL 35
CHEMBL4546339,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1NCc1cncc(-c2ccn(C)n2)c1,0.016,CHEMBL 35
CHEMBL4165748,COc1ccc(-c2ccccc2-c2csc(N(C(=O)[C@@H](CC(=O)O)CC(C)C)C3CC3)n2)cn1,0.0066,CHEMBL 35
CHEMBL4107559,Cc1cnc2c(c1)nnn2-c1ccc(C(=O)N(c2ncccc2Cl)[C@@H]2CCCNC2)nc1,0.24,CHEMBL 35
CHEMBL4282052,CCOc1cc(CN2CCC3(CC2)CC(=O)N(c2ccc(C(=O)O)cc2)C3)cc(OCC)c1-c1ccc(F)cc1.O=C(O)C(F)(F)F,0.057,CHEMBL 35
CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.0000536,CHEMBL 35
CHEMBL4242079,c1cnc2c(Nc3ccc4c(C5CC5)n[nH]c4c3)n[nH]c2c1,0.014,CHEMBL 35
CHEMBL4211012,C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1Cc2cn(-c3ccccc3F)nc2C1)C(F)(F)F,0.056,CHEMBL 35
CHEMBL4437035,Cc1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cc2c1C,0.017,CHEMBL 35
CHEMBL4529872,Cc1ccc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)c3c(c2)OC(C)(C)C3)nc1,0.0809,CHEMBL 35
CHEMBL2064632,CN(C)C[C@@H](OC(=O)N1Cc2c(NC(=O)C3(C(F)(F)F)CC3)n[nH]c2C1(C)C)c1ccccc1,0.362,CHEMBL 35
CHEMBL4544036,CO[C@@H]1C[C@H](C(=O)Nc2ccc(-n3cc(Cl)ccc3=O)cc2F)N(C(=O)Nc2ccc(Cl)cc2)C1,0.0543,CHEMBL 35
CHEMBL4464335,C=CC(=O)N1CC(NC(=O)Cn2c(C3CC3)c(C(=O)N3CCc4c(cccc4OC)C3)c3cc(Cl)cc(C)c32)C1,0.02,CHEMBL 35
CHEMBL4217549,C[C@H](Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1,0.06,CHEMBL 35
CHEMBL4635537,NC(=O)[C@@H]1CC[C@H](c2ccc(Oc3ccc(F)cc3)cc2)N1,0.11,CHEMBL 35
CHEMBL3775824,CC(C)CN1CCc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,0.037,CHEMBL 35
CHEMBL4541930,CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc3[nH]ncc3c2C[C@H]1C,0.034,CHEMBL 35
CHEMBL4459205,Cc1noc2c(F)cc(Nc3n[nH]c4cccnc34)cc12,0.05,CHEMBL 35
CHEMBL4452923,CO[C@H](C)COc1cc(C)nc(C(=O)Nc2nc(C)cs2)c1,0.09,CHEMBL 35
CHEMBL4436786,OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CCC4)C4CCC4)ncnc31)[C@H](O)[C@@H]2O,0.178,CHEMBL 35
CHEMBL4587144,OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(N[C@H]4C[C@H]5CC[C@@H]4C5)nc(Cl)nc31)[C@H](O)[C@@H]2O,0.0659,CHEMBL 35
CHEMBL4569114,COc1ccc(-c2cc(C(N)=O)nc3cc(COc4ccnc(C(F)(F)F)c4)nn23)c(F)c1,0.03,CHEMBL 35
CHEMBL4475753,COc1ccc(-c2cc(C(N)=O)nc3cc(COc4cnc(C)nc4)sc23)cc1,0.02,CHEMBL 35
CHEMBL4583516,COc1cc(N2CC(NC(=O)c3ccc4nnc(C)c(C)c4c3)C2)c(Cl)cn1,0.012,CHEMBL 35
CHEMBL4437649,N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cn3)C[C@@]2(O)CO)cc1F,0.18,CHEMBL 35
CHEMBL4873599,Cc1nc2c([C@H](C)c3ccc(C(F)(F)F)c(F)c3)nn(CCO)c2c(=O)[nH]1,0.049,CHEMBL 35
CHEMBL4857028,Cc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,0.065,CHEMBL 35
CHEMBL4521763,O=c1[nH]c(=S)n(CCO)c2cc[nH]c12,0.817,CHEMBL 35
CHEMBL4873847,CCC(=O)CCCCC[C@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2cn(OC)c3ccccc23)NC1=O,0.0045,CHEMBL 35
CHEMBL4861270,CCCC[C@H](NC(=O)[C@H](C)c1c(C)[nH]c2ccc(O)cc12)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,0.0006,CHEMBL 35
CHEMBL4469982,CCOc1cnc(N2C[C@@]3(CCC[C@](C)(Cn4cnc5ccc(C#N)cc54)C3)OC2=O)cn1,0.037,CHEMBL 35
CHEMBL4517101,N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C[C@@]2(O)CN)cc1F,0.036,CHEMBL 35
CHEMBL4173887,N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C[C@]2(O)CO)cc1F,0.04,CHEMBL 35
CHEMBL4454801,N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccccc3C#N)C[C@@]2(O)CO)cc1F,0.197,CHEMBL 35
CHEMBL4779889,Cn1c(=O)n(CC(=O)N2CCC2)c2cc(-c3ccc(C(F)(F)F)s3)cnc21,0.053,CHEMBL 35
CHEMBL4097165,O=C1NC(=O)[C@](CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)(C2CC2)N1,0.206,CHEMBL 35
CHEMBL4798497,COc1cc(N2CC(NC(=O)c3sc4nnc(Cl)c(C)c4c3N)C2)c(Cl)cn1,0.005,CHEMBL 35
CHEMBL4780651,Cc1c(Cl)nnc2sc(C(=O)NC3CN(c4ncc(C(F)(F)F)cn4)C3)c(N)c12,0.022,CHEMBL 35
CHEMBL3983476,COc1nn2cc(-c3ccc(Cl)cc3)nc2s1,0.006,CHEMBL 35
CHEMBL4644347,NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3cccc(F)c3)cc2)N1,0.033,CHEMBL 35
CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.000104,CHEMBL 35
CHEMBL5095169,CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,0.009,CHEMBL 35
CHEMBL594828,COCc1nnc(N2CC(Oc3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,0.0664,CHEMBL 35
CHEMBL4588443,O=C(NC1CC(F)(F)C1)c1nsc2cc(Nc3n[nH]c4cccnc34)ccc12,0.005,CHEMBL 35
CHEMBL4445465,O=C(c1nsc2cc(Nc3n[nH]c4cccnc34)ccc12)N1CCOCC1,0.059,CHEMBL 35
CHEMBL4790083,N#Cc1ccc(N2C3CCC2CN(C(=O)CCS(=O)(=O)c2cccc4ncsc24)C3)nc1,0.2,CHEMBL 35
CHEMBL3674061,Cc1nc2c(c(-c3ccn[nH]3)n1)CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,0.074,CHEMBL 35
CHEMBL4515326,Cc1nnc2sc(C(=O)c3cccnc3)c(N)c2c1C,0.005,CHEMBL 35
CHEMBL4854091,O=C(N[C@@H](c1ccccc1)c1cccc(OCc2ccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)c1)O[C@H]1CN2CCC1CC2,0.98,CHEMBL 35
CHEMBL131,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.31,CHEMBL 35
CHEMBL4482864,COC[C@H]1Cn2cc(-c3nc(Nc4ccnn4C)ncc3C)nc2C(=O)N1Cc1ccc(F)c(F)c1,0.21,CHEMBL 35
CHEMBL4451125,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,0.311,CHEMBL 35
CHEMBL4542440,C[C@@H]1CCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn2C1,0.02,CHEMBL 35
CHEMBL4454698,c1cnc2c(Nc3ccc4c(C5CCCC5)noc4c3)n[nH]c2n1,0.008,CHEMBL 35
CHEMBL4437680,c1cnc2c(Nc3ccc4c(C5CCCC5)noc4c3)n[nH]c2c1,0.007,CHEMBL 35
CHEMBL4591132,CC(=O)N1CCC(c2nsc3cc(Nc4n[nH]c5cccnc45)ccc23)CC1,0.039,CHEMBL 35
CHEMBL4776981,Cc1c(Cl)nnc2sc(C(=O)NC3CN(c4cc(C(F)(F)F)ncc4Cl)C3)c(N)c12,0.019,CHEMBL 35
CHEMBL552425,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1cncc(C(N)=O)c1,0.018,CHEMBL 35
CHEMBL4753097,CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCNC5)c(C)n4)n3)cc12,0.24,CHEMBL 35
CHEMBL5218449,Cc1ncc(S(=O)(=O)N2CC[C@H](C(=O)Nc3ccc4scnc4c3)[C@@H](F)C2)s1,0.007,CHEMBL 35
CHEMBL4591825,COCc1nnc(N2C[C@@H]3C[C@]3(c3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,0.0146,CHEMBL 35
CHEMBL5077756,O=C(Cc1cccnc1)N(Cc1cccc(Cl)c1)c1ccc(-c2cn[nH]c2)cc1,0.035,CHEMBL 35
CHEMBL4740272,Cc1c(CF)nnc2sc(C(=O)NC3CN(c4ncc(C(F)(F)F)cn4)C3)c(N)c12,0.034,CHEMBL 35
CHEMBL4740237,Cn1nccc1-c1nccc2cc(Nc3n[nH]c4cccnc34)ccc12,0.00088,CHEMBL 35
CHEMBL4796921,Cc1nnc2sc(C(=O)NC3CN(c4ncc(C(F)(F)F)cn4)C3)c(N)c2c1C,0.028,CHEMBL 35
CHEMBL4780059,Cc1c(C(F)F)nnc2sc(C(=O)NC3CN(c4ncc(C(F)(F)F)cn4)C3)c(N)c12,0.017,CHEMBL 35
CHEMBL5405569,CNc1cc(Nc2cccn(-c3ncccc3F)c2=O)nc2c(C(=O)N[C@@H]3C[C@@H]3F)cnn12,0.031,CHEMBL 35
CHEMBL5198935,CCCC1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC2(CC1)CC2.Cl,0.2,CHEMBL 35
CHEMBL3915997,C[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccccc1,0.00011,CHEMBL 35
CHEMBL4752684,CCc1cc(-c2ccc3c(c2)-c2nnc(Nc4cccc(C(F)(F)F)c4)n2CCO3)ccn1,0.0034,CHEMBL 35
CHEMBL4214549,O=c1[nH]c2ccc(-c3c(Cl)cccc3Cl)cc2[nH]1,0.6,CHEMBL 35
CHEMBL4866953,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2nnn(C)n2)no1,0.29,CHEMBL 35
CHEMBL4878233,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2ccnc(C)c2)no1,0.084,CHEMBL 35
CHEMBL4874110,Cn1nnc(C(=O)N[C@@H]2CCc3cc(-c4noc(C5CC5)n4)ccc32)n1,0.12,CHEMBL 35
CHEMBL4863600,CC(C)c1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2nnn(C)n2)no1,0.17,CHEMBL 35
CHEMBL4172016,COc1cc(F)c(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1F,0.046,CHEMBL 35
CHEMBL4457366,COc1cc2c(OC[C@H]3NC(=O)[C@@H]4C[C@]34C)nccc2cc1C(N)=O,0.298,CHEMBL 35
CHEMBL4779331,FC(F)c1nccc2cc(Nc3n[nH]c4cccnc34)ccc12,0.00032,CHEMBL 35
CHEMBL4742782,CCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N1[C@H](C(=O)N[C@@H](Cc2ccc(I)cc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](Cc2ccc(-c3ccccc3)cc2)C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,0.0021,CHEMBL 35
CHEMBL2361777,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1,0.021,CHEMBL 35
CHEMBL5085562,Cc1cccc(-c2ccc(/C=C/[C@@H]3[C@@H]4[C@@H](C)OC(=O)[C@]4(O)CC(F)(F)[C@H]3C)nc2)c1C#N,0.03,CHEMBL 35
